Title,Desc_of_movies,IMDB_ID,Directors,Actors,Genres,Languages
My Hero Academia: Two Heroes ,"With Deku, All Might visits an old friend on the technologically advanced I-Island, when a gang of villains takes the whole city hostage.",7745068,Kenji Nagasaki,"Daiki Yamashita, Kenta Miyake, Mirai Shida, Nobuhiko Okamoto, Yûki Kaji, Ayane Sakura, Kaito Ishikawa, Toshiki Masuda, Ryô Hirohashi, Tasuku Hatanaka, Marina Inoue, Kei Shindo, Kiyotaka Furushima, Tôru Nara, Masakazu Nishida, Yoshimasa Hosoya, Eri Kitamura, Aoi Yûki, Kaori Nazuka, Rikiya Koyama, Mitsuru Ogata, Ryohei Kimura, Akio Ôtsuka, Daigo Yamamoto, Nobuyuki Hayakawa, Genta Aoki, Mami Sugino, Kensuke Satô, Keiji Hirai, Tomomi Kawamura, Ken'ichi Mochizuki, Misuzu Togashi, Takayuki Masuda, Aya Kawakami, Masaya Fukunishi, Wakana Kingyo, Ryota Iwasaki, Haruka Shamoto, Takahiro Sumi, Hiroaki Okuda, Ayako Kamegai, Aisun Kochu, Ai Kobayashi, Atsuhiro Saitô, Risa Joji, Nobuko Taniguchi, Youko Taniguchi, Yûya Tabata, Honoka Tsumita, Asami Namiki, Yuka Hojo, Yukiko Yamashita, Katsuhisa Namase, Felecia Angelle, Katelyn Barr, Anthony Bowling, Justin Briner, Ben Bryant, Bradley Campbell, Bob Carter, Clifford Chapin, Ray Chase, Luci Christian, Colleen Clinkenbeard, Justin Cook, Kara Edwards, Nicole Endicott, Jim Foronda, Cris George, Adam Gibbs, Caitlin Glass, Jennifer Green, Josh Grelle, Bill Jenkins, Andrew Love, Bryan Massey, David Matranga, Erica Mendez, Daman Mills, Trina Nishimura, Brina Palencia, Kyle Phillips, Tabitha Ray, Monica Rial, Aaron Roberts, Christopher Sabat, Lindsay Seidel, Keith Silverstein, Ian Sinclair, Garret Storms, John Swasey, Nazeeh Tarsha, J. Michael Tatum, Alison Viktorin, Sarah Wiedenheft, Barry Yandell","Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",Japanese
My Honor Was Loyalty ,"Amid the chaos and horror of World War II, a committed German soldier fights a private battle with his own conscience.",4544696,"Leone Frisa, Alessandro Pepe","Leone Frisa, Francesco Migliore, Paolo Vaccarino, Albrecht Weimer","Drama, War","German, English"
My Horrible Grandma (Taitah Rahibah) ,"As a man fumbles to keep things in order, his assertive grandmother tries to straighten out his life when she returns to live with him.",2350736,Sameh Abdulaziz,"Shaimaa Abdelkader, Samiha Ayyoub, Fify El Sebaay, Muhammad Farrag, Amy Samir Ghanem, Mohamed Henedi, Bassem Samra, Khaled Sarhan, Adham Tarek, Badriya Tolba","Comedy, Drama",Arabic
My Hotter Half ,"Couples compete to see who can take the sexiest selfie, with the loser getting a much-needed makeover.",9020426,NAN,"Melvin Odoom, Charley Clark, Can Somer",Reality-TV,English
My Life ,"Michael Keaton stars as an advertising executive who has it all: a beautiful wife, a great job, a stately house -- and three months to live.",107630,Bruce Joel Rubin,"Michael Keaton, Nicole Kidman, Bradley Whitford, Queen Latifah, Michael Constantine, Rebecca Schull, Mark Lowenthal, Lee Garlington, Toni Sawyer, Haing S. Ngor, Romy Rosemont, Danny Rimmer, Ruth de Sosa, Richard Schiff, Stephen Taylor Knott, Andrew Camuccio, Brian Camuccio, Colby Sawyer Garabedian, Mary Ann Thebus, Brenda Strong, Rudi Davis, Mark Holton, Lissa Walters, Bruce Jarchow, Jane Morris, Kenneth Tigar, Ray Reinhardt, Frank DiElsi, Billy L. Sullivan, Michael Gallagher, Christopher Miranda, Nora Taylor, Dianne B. Shaw, Sondra Rubin, Sylvia Kauders, Sharon Conley, James R. Sweeney, Vasek Simek, Magda Harout, Mark Zingale, Jonathan Fish, James Rubin, Jennifer Flackett, Gary A. Rubin, Susan Breslau, Wendy Sax, Charlotte Zucker, Blanche Rubin, Ari Rubin, John Steciw, Walter Klimchuk, Peggy Roeder, Treva Tegtmeier, Oksana Fedunyszyn, Lynn Baber, Chipper Lowell, Michaela Morgan",Drama,English
My Little Pony Equestria Girls: Forgotten Friendship ,School yearbook editor Sunset Shimmer has suddenly been erased from the memories of her best friends and must find out how to fix this.,7869818,"Ishi Rudell, Katrina Hadley","Ashleigh Ball, Andrea Libman, Rebecca Shoichet, Tabitha St. Germain, Tara Strong, Nicole Oliver, Cathy Weseluck, Kathleen Barr, Shannon Chan-Kent, James Kirk, Ingrid Nilson, Kazumi Evans","Animation, Short, Comedy, Drama, Family, Fantasy, Musical, Sci-Fi",English
My Little Pony Equestria Girls: Friendship Games ,"Rainbow Dash, Applejack and friends compete against Crystal Prep Academy and their lead athlete, this world&#39;s Twilight Sparkle, in sporting events.",No ID found,NAN,NAN,NAN,NAN
My Little Pony Equestria Girls: Legend of Everfree ,"The Equestria Girls, human teen counterparts to My Little Pony characters, head to Camp Everfree, where they need a little magic to help save summer.",5474644,Ishi Rudell,"Tara Strong, Rebecca Shoichet, Ashleigh Ball, Andrea Libman, Tabitha St. Germain, Cathy Weseluck, Enid-Raye Adams, Brian Doe, Nicole Oliver, Vincent Tong, Brian Drummond, Michael Dobson, Kathleen Barr, Richard Ian Cox, Lee Tockar, Shannon Chan-Kent, Kazumi Evans, Kelly Metzger","Animation, Comedy, Family, Fantasy, Musical",English
My Little Pony Equestria Girls: Rollercoaster of Friendship ,"Rarity gets a summer job at Equestria Land, making Applejack feel jealous. But when their friends start vanishing, they must work together to find them.",8717590,"Ishi Rudell, Katrina Hadley","Ashleigh Ball, Andrea Libman, Rebecca Shoichet, Tabitha St. Germain, Tara Strong, Tegan Moss, James Kirk, Sam Vincent, Scott McNeil, Richard Newman, Kazumi Evans","Animation, Comedy, Drama, Fantasy, Musical",English
My Little Pony Friendship Is Magic: Best Gift Ever ,"The ponies get in the spirit of the holidays by drawing names for a gift exchange, then race around Equestria in search of the perfect presents.",8734822,"Denny Lu, Mike Myhre, Jim Miller","Tara Strong, Andrea Libman, Ashleigh Ball, Cathy Weseluck, Tabitha St. Germain, John de Lancie, Sam Vincent, Garry Chalk, Meaghan Hommy, Scott McNeil, Ingrid Nilson, Sean Thomas, Andrew Francis, Britt McKillip, Alison Wandzura, Asia Mattu, Rebecca Shoichet, Kazumi Evans, Shannon Chan-Kent","Animation, Short, Comedy, Family, Fantasy, Musical",English
My Little Pony: The Movie ,"When the evil Storm King threatens the Ponyville residents, the courageous Mane 6 ponies journey beyond the borders of Equestria to save their home.",4131800,Jayson Thiessen,"Uzo Aduba, Ashleigh Ball, Adam Bengis, Emily Blunt, Kristin Chenoweth, Michelle Creber, Taye Diggs, Brian Dobson, Michael Dobson, Andrea Libman, Max Martini, Britt McKillip, Peter New, Mark Oliver, Nicole Oliver, Michael Peña, Zoe Saldana, Liev Schreiber, Sia, Tabitha St. Germain, Tara Strong, Sam Vincent, Cathy Weseluck, Andrew McNee, Tegan Moss, Sabrina Pitre, Rhona Rees, Richard Ian Cox, Alistair Abell, Caitlyn Bairstow, Julia Benson, Christine Chatelain, Paul Dobson, Rondel Reynoldson, Jason Simpson, Sarah Troyer, Siobhan Williams","Animation, Adventure, Comedy, Drama, Family, Fantasy, Musical",English
My Mister ,"In a world that is less than kind, a young woman and a middle-aged man develop a sense of kinship as they find warmth and comfort in one another.",No ID found,NAN,NAN,NAN,NAN
My Mother's Wound ,"After leaving the orphanage where he was raised, a teen searches for his family only to find work at a farm, where secrets of the past begin to surface.",4994736,Ozan Açiktan,"Ozan Güven, Meryem Uzerli, Belçim Bilgin, Okan Yalabik, Bora Akkas, Sabina Ajrula, Sermet Yesil, Koray Sahinbas, Ayça Eren, Suleyman Atanisev, Ersel Sarica, Ziya Durukan, Mihajlo Jovanovic, Nikola Dragutinovic, Sergej Zivkovic, Konstantin Mladenovic, Mehmet Ergen, Kerem Yüksel, Brad Berke Bayrak, Andrej Sreckovic, Nenad Maksimovic, Goran Aleksic, Nina Grahovac, Danica Radulovic, Ljubomir Todorovic, Ilter Akçebe, Aleksandar Gligoric, Igor Borojevic, Andreja Maricic, Aleksandar Sirkovic, Kamenko Stanojevic, Vladimir Cvejic, Onur Ulutas, Vlado Milosevic, Maja Randjic, Andrijana Oliveric, Marija Gasic, Petar Cirica, Goran Milosevic, Branislav Radojkovic Toskic, Milos Punisic, Damir Vasiljevic, Danijela Vranjes, Predrag Kotur","Drama, Mystery, War",Turkish
My Neighbor Totoro ,"While spending a summer in the Japanese countryside with their father, two young sisters befriend mystical creatures who live in the nearby forest.",96283,Hayao Miyazaki,"Noriko Hidaka, Chika Sakamoto, Shigesato Itoi, Sumi Shimamoto, Tanie Kitabayashi, Hitoshi Takagi, Yûko Maruyama, Machiko Washio, Reiko Suzuki, Masashi Hirose, Toshiyuki Amagasa, Shigeru Chiba, Naoki Tatsuta, Tarako, Tomohiro Nishimura, Mitsuko Ishida, Chie Kôjiro, Daiki Nakamura, Yûko Mizutani, Akiko Hiramatsu, Ikue Ôtani, Dakota Fanning, Elle Fanning, Tim Daly, Pat Carroll, Lea Salonga, Frank Welker, Paul Butcher, Matt Adler, Newell Alexander, David Midthunder, Kristin Klabunde, J.P. Manoux, Evan Sabara, Kath Soucie, Yvonne Russo, Russi Taylor, Toochis Morin, Peter Renaday, Robert Clotworthy, Kimberly Guerrero, Bridget Hoffman, Zahn McClarnon, Rye, Ashley Rose, Lisa Michelson, Cheryl Chase, Gregory Snegoff, Kenneth Hartman, Alexandra Kenworthy, Natalie Core, Steve Kramer, Lara Cody, Melanie MacQueen, Brianne Brozey, Carl Macek, Tress MacNeille, Kerrigan Mahan, Edie Mirman, Doug Stone","Animation, Family, Fantasy",Japanese
My Neighbors the Yamadas ,Five-year-old Nonoko and the rest of the quirky Yamada family navigate the imaginative adventures and everyday struggles of life in contemporary Japan.,206013,Isao Takahata,"Yukiji Asaoka, Tôru Masuoka, Masako Araki, Hayato Isohata, Naomi Uno, Akiko Yano, Kosanji Yanagiya, Tamao Nakamura, Chôchô Miyako, Jim Belushi, Jeff Bennett, Alex Buck, A.J. Buckley, Dixie Carter, Erin Chambers, Maree Cheatham, Flo Di Re, Melissa Disney, Suguru Egawa, Arata Furuta, Amber Hood, Tress MacNeille, Akira Matsuda, Edie McClurg, Jim Meskimen, Jon Miller, Liliana Mumy, Trenton Rogers, Ashley Rose, Daryl Sabara, Satoru Saitô, Jeremy Shada, Molly Shannon, David Ogden Stiers, Sadanobu Terashita, Yasuko Tomita, Mizuho Tsushima, Matthew Underwood, Billy West, Atsushi Yamanishi","Animation, Comedy, Family",Japanese
My Octopus Teacher ,"A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world.",12888462,"Pippa Ehrlich, James Reed","Craig Foster, Tom Foster",Documentary,English
My Own Man ,"When a man discovers he will be the father to a boy, his fear and insecurities send him on an emotional, humorous quest for his own manhood.",3356434,David Sampliner,NAN,"Documentary, Comedy, Drama, Family",English
My Perfect Romance ," Just in time for Valentine's Day, a program developer pitches a revolutionary dating algorithm to her new CEO, who volunteers them as guinea pigs.",7358936,Justin G. Dyck,"Lauren Holly, Morgan Fairchild, Jodie Sweetin, Christopher Russell, Kimberly-Sue Murray, Celine Tsai, Josh Dean, Andy Yu, Joseph Cannata, Zarrin Darnell-Martin, Rhys Wyn Trenhaile, David Jack, Adrian Spencer, Siobhan Bolton, Jenny Itwaru, Jason Boyd, Joe Vercillo, Fode Bangoura, Darnell Bartholomew",Romance,English
