Title,Desc_of_movies,IMDB_ID,Directors,Actors,Genres,Languages
"My Schoolmate, the Barbarian (Wo de Ye man Tong xue) ","A brainy private school student is transferred to a far less elite institution, where he must fend off classmates who settle scores with fistfights.",295461,"Siu-Hung Chung, Jing Wong","Nicholas Tse, Stephen Fung, Joey Yung, Samuel Pang, Serena Po, Ken Chung, Hyper BB, Ka Ho Yu, Frankie Chi-Hung Ng, Lai Hing Chan, Yam Chan, Wai-Hung Fung, Helen Poon, Wai-Keung Tung, King-Man Yip","Comedy, Action",Cantonese
My Secret Diary (The Miracle) ,"Polar opposites in personality and looks, fraternal twin sisters who live completely different lives wake up one day to find they've switched bodies.",6703344,NAN,"Hong Yoon Hwa, Kim Dong Hyun, Kim Na Hyun, Yang Hak Jin",Drama,Korean
My Sleeping Lover (Habibi Na'eman) ,"After undergoing hypnosis, Ramez finally meets the woman of his dreams -- but his vision of her appearance doesn't quite match up with reality.",1584838,Ahmad El-Badri,"Kal Naga, Mai Ezzidine, Hasan Husni, Izzat Abu-Of, Reda Hamed, Marwa Abdel Moneim, Nahla Zaki",Comedy,Arabic
My Step Dad: The Hippie (Cici Babam) ,"When three adult siblings meet the offbeat man who their widowed mom fawns over, they take drastic actions to stop them from ever getting married.",8061070,Meltem Bozoflu,"Onur Buldu, Mahir Ipek, Derya Karadas, Onur Atilla, Meltem Yilmazkaya, Yasemin Çonka, Burak Topaloglu, Sefik Taylan, Orkun Karagöz, Erdogan Aydin, Gülser Kaya Çaglar, Özgün Aydin, Ugur Bilgin, Arif Erkin Güzelbeyoglu, Asli Inandik, Alper Kul, Irem Sak, Ayhan Sicimoglu, Defne Yalniz, Kuvvet Yurdakul",Comedy,Turkish
My Stupid Boss ,"After moving to Kuala Lumpur, Diana lands a secretary job at an ironworks owned by her husband's old college friend, possibly the world's worst boss.",5514296,Upi Avianto,"Bunga Citra Lestari, Reza Rahadian, Alex Abbad, Bront Palarae, Kin Wah Chew, Atikah Suhaime, Iskandar Zulkarnain, Melissa Karim, Nadiya Nissa, Sharmaine Othman, Sherry Alhadad, Richard Oh, Ting Tan",Comedy,"Indonesian, Malay, English"
My Stupid Boss 2 ,"Having driven away many of his employees, Bossman and three of his long-suffering workers try to find cheap labor in Vietnam but find trouble instead.",10039468,Upi Avianto,"Reza Rahadian, Bunga Citra Lestari, Kin Wah Chew, Atikah Suhaime, Iedil Dzuhrie Alaudin, Iskandar Zulkarnaen, Alex Abbad, Melissa Karim, Morgan Oey, Verdi Solaiman, Sahil Shah, Prakash Krisna, Indra Jegel, Awek Sitepu, Gregory Prabowo","Adventure, Comedy","Indonesian, Malay, English, Vietnamese"
My Travel Buddy (Yol Arkadasim) ,"Days before Eid, a salesman fired from his job drives to Ayvalık to meet his girlfriend's family, but the trip goes astray due to his zany travel buddy.",7535792,Bedran Güzel,"Oguzhan Koç, Ibrahim Büyükak, Emre Kinay, Asli Bekiroglu, Eda Ece, Bahar Sahin, Muharrem Bayrak, Soner Ada, Gürkan Deniz Akhanli, Cihan Aksoy, Tuncay Akça, Toygan Avanoglu, Dilber Ay, Erdem Bas, Senay Bozoklar, Ekrem Caglayan, Rahsan Firtina, Shohrat Haitov, Nurseli Idiz, Acun Ilicali, Nazmi Kahraman, Serhat Mustafa Kiliç, Hanifi Konuksever, Nadide Deniz Korkmaz, Kadir Polatçi, Okan Sahin, Sevilay Sandikçi, Zeynep Tekin, Serpil Toprak, Yakup Yavru, Eser Yenenler, Sinasi Yurtsever, Mert Zaim",Comedy,Turkish
My True Friend (Friends Never Die) ,A bullied student forms a bond with the leader of a youth gang and discovers the power and meaning of true friendship.,2449180,Atsajun Sattakovit,"Ranee Campen, Natcha Juntapan, Mario Maurer, Kamolned Ruengsri, Mo Monchanok Saengchaipiangpen",Action,Thai
My Way ,"Former Italian prime minister Silvio Berlusconi opens up about his life, including his sex scandals, corruption trials, and friendship with Putin.",No ID found,NAN,NAN,NAN,NAN
My Wife and I ,"When a couple leaning toward divorce meets with a pastor for counseling, an unexpected development shakes up their marriage.",No ID found,NAN,NAN,NAN,NAN
